"day","actions","events","asc","dead","alive","broadcast","mail","vote","messages","daychange"
"","","","","","","","","","<tr><td style=""text-align:left;width:30%""></td><td style=""text-align:left;width:70%""></td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">The hack must be completed within 7 days.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Blue) You have been loyal to the cause for years, <b>CCTV Specialist</b>.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Brown) You have been loyal to the cause for years, <b>Network Specialist</b>.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Cyan) The epilogue to your story starts today, <b>Journalist</b>.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Gold) You have been loyal to the cause for years, <b>Spearphisher</b>.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Gray) You have been loyal to the cause for years, <b>Operation Leader</b>.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Green) You have been loyal to the cause for years, <b>Analyst</b>.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Orange) You must stop the hack at any cost, <b>Agent Leader</b>.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Orange) You have a cover as 'CCTV Specialist' in the event of an early death.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Orange) Your background in computer forensics granted you the 'Hack Target' skill.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Orange) Never reveal your role for any reason - you are an AGENT.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Pink) You have been loyal to the cause for years, <b>Social Engineer</b>.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Red) You must stop the hack at any cost, <b>Field Agent</b>.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Red) Your training at the AGENT academy granted you the 'Interrogate' skill.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Red) Never reveal your role for any reason - you are an AGENT.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Silver) The epilogue to your story starts today, <b>Loose Cannon</b>.</td></tr>",""
"","","00","","","","","","","<tr><td colspan=""2"" style=""color:#fff;text-align:center;"">(Dr.Silver) Your loyalty to AGENT is unquestioned. To win, make sure AGENT wins the game. Don't die.</td></tr>",""
