color,started_as,finished_as,heartbeat
Dr.Blue,CCTV Specialist,Improvised Hacker,Alive
Dr.Brown,Network Specialist,Network Specialist,Alive
Dr.Cyan,Journalist,Journalist,Dead
Dr.Gold,Spearphisher,Spearphisher,Dead
Dr.Gray,Operation Leader,Operation Leader,Alive
Dr.Green,Analyst,Runaway Snitch ,Dead
Dr.Orange,Agent Leader,Field Agent,Dead
Dr.Pink,Social Engineer,Social Engineer,Alive
Dr.Red,Field Agent,Field Agent,Dead
Dr.Silver,Loose Cannon,Loose Cannon,Dead
Dr.White,Blackhat,Blackhat,Alive
Mrs.Magenta,Inside Man,Inside Man,Alive
