username,message
littledulity,who was pink
AlexJones,gg
AstraAegis,nice nice
Gabrote42,I was OL pink
Ping,that didnt go well
deltanedas,among us premium
Gabrote42,"Nice one, people"
deltanedas,not a single time was red visited
AlexJones,i was framing players left and right
littledulity,i got the win for you
AstraAegis,i visited him
deltanedas,how was he not agent
AstraAegis,he bussed to me
AstraAegis,agent LC stabbed me
littledulity,thanks for the root
deltanedas,well properly visited
Ping,i accidently got fs killed
deltanedas,dont think bus can be seen on cam
AstraAegis,eh i just didnt think he was evil
Gabrote42,Ochre didn't esc me which was kinda sad
Ping,because my logs forked his logs
